"","Class","Eccentricity","Aspect_Ratio","Elongation","Solidity","Stochastic_Convexity","Isoperimetric_Factor","Maximal_Indentation_Depth","Lobedness","Average_Intensity","Average_Contrast","Smoothness","X.Third_Moment","Uniformity","Entropy"
"32",5,0.88075,1.736,0.58345,0.83383,0.91754,0.41551,0.040582,0.29973,0.035786,0.10047,0.0099932,0.002759,0.00025802,1.0952
"33",5,0.86545,1.8803,0.62039,0.82443,0.85439,0.33077,0.047,0.40204,0.039518,0.1157,0.01321,0.0042406,0.00020084,1.0136
"34",5,0.93671,2.4151,0.7298,0.81793,0.86491,0.33439,0.080539,1.1805,0.048722,0.12051,0.014314,0.0039983,0.00037216,1.3083
"35",5,0.92676,2.222,0.6558,0.82432,0.89474,0.35618,0.038012,0.26298,0.059981,0.14901,0.021723,0.0075251,0.00028398,1.353
"36",5,0.90944,2.1139,0.69555,0.80873,0.85263,0.31039,0.047267,0.40663,0.039446,0.10517,0.010939,0.0028913,0.00029366,1.1602
"37",5,0.93613,2.3898,0.67175,0.84434,0.90526,0.37007,0.039277,0.28077,0.048447,0.11955,0.014091,0.0037887,0.00042459,1.2593
"38",5,0.88172,1.774,0.63974,0.8499,0.87368,0.34354,0.051776,0.4879,0.06103,0.1519,0.022554,0.0080813,0.00025039,1.3805
"39",5,0.82268,1.6657,0.59909,0.84493,0.85614,0.32056,0.048803,0.43348,0.079282,0.18571,0.033338,0.013523,0.00027502,1.5377
"40",5,0.82135,1.6035,0.6025,0.84981,0.87544,0.31304,0.056079,0.57236,0.069239,0.16319,0.02594,0.0092918,0.00032134,1.4686
"41",6,0.50784,1.0544,0.623,0.73625,0.59649,0.27687,0.13296,3.2176,0.014816,0.067044,0.0044748,0.0013737,3.792e-05,0.52114
"42",6,0.47728,1.2115,0.68343,0.76364,0.56667,0.23896,0.10747,2.1022,0.024036,0.080623,0.0064581,0.0018312,0.00010648,0.90702
"43",6,0.50964,1.2067,0.70618,0.72175,0.56491,0.21009,0.11264,2.3093,0.021181,0.080306,0.0064077,0.0020323,6.5828e-05,0.73274
"44",6,0.63965,1.2323,0.60663,0.77037,0.62105,0.24135,0.12438,2.8155,0.025438,0.096215,0.0091723,0.0034208,5.1566e-05,0.75194
"45",6,0.71847,1.2291,0.693,0.75574,0.66667,0.26004,0.098823,1.7774,0.021217,0.073201,0.0053299,0.0013612,0.00012452,0.79862
"46",6,0.47815,1.1032,0.52998,0.81654,0.8193,0.33753,0.11547,2.4268,0.006859,0.042071,0.0017668,0.00047564,1.4404e-05,0.30832
"47",7,0.84886,1.7011,0.5348,0.81465,0.97018,0.37276,0.035424,0.22838,0.038846,0.1192,0.014009,0.0057424,0.00010856,1.2269
"48",7,0.83755,1.5634,0.53329,0.76697,0.95088,0.27825,0.039592,0.28528,0.023152,0.087838,0.0076564,0.0028187,5.6309e-05,0.8079
"49",7,0.82602,1.6637,0.49244,0.8862,0.99298,0.57136,0.022152,0.089306,0.034444,0.1012,0.010138,0.0030708,0.00016513,1.1047
"50",7,0.84563,1.7418,0.49818,0.92748,1,0.62301,0.014708,0.039374,0.025028,0.077667,0.0059959,0.002105,0.00029619,1.1899
"51",7,0.87163,2.0659,0.55339,0.94868,1,0.60231,0.031671,0.18255,0.049706,0.1344,0.017742,0.0066921,0.00016133,1.4016
"52",7,0.86587,1.9999,0.52725,0.97215,0.99474,0.67283,0.0092956,0.015726,0.021192,0.073946,0.0054383,0.0014673,0.00015488,0.78201
"53",7,0.82373,1.6421,0.47458,0.85777,0.98421,0.50374,0.020049,0.073157,0.018698,0.075567,0.005678,0.0023517,8.791e-05,0.7658
"54",7,0.84285,1.8572,0.51931,0.91339,0.97544,0.60526,0.028734,0.15027,0.038283,0.1156,0.013186,0.0048867,0.00012558,1.1185
"55",8,0.98502,6.0596,0.83612,0.97628,0.98772,0.31546,0.02322,0.098133,0.03683,0.10661,0.011238,0.0032908,0.00022206,1.0185
"56",8,0.98487,6.0229,0.83628,0.96522,1,0.29509,0.024667,0.11074,0.0303,0.097095,0.0093394,0.0027833,0.00018341,0.85025
"57",8,0.98326,5.8308,0.82878,0.96489,1,0.30777,0.014672,0.039178,0.019278,0.073118,0.0053178,0.0014657,9.7882e-05,0.66403
"58",8,0.98695,6.2904,0.84124,0.97085,1,0.29288,0.023221,0.09814,0.025859,0.089821,0.0080032,0.0024919,9.7883e-05,0.8112
"59",8,0.98717,6.5173,0.84726,0.96846,1,0.28899,0.022056,0.08854,0.042124,0.11842,0.013829,0.0043818,0.00020215,1.098
"60",8,0.98361,5.8719,0.82847,0.95488,0.98421,0.32134,0.040164,0.29359,0.039243,0.11622,0.013327,0.0043872,0.00019465,1.0006
"61",8,0.986,6.1763,0.83942,0.97837,0.99298,0.31607,0.011769,0.025208,0.051048,0.13524,0.017961,0.0060176,0.0003128,1.166
"62",8,0.98824,7.142,0.86069,0.96683,0.99474,0.26951,0.021697,0.08568,0.024361,0.087108,0.0075307,0.0023055,9.7934e-05,0.7396
"63",9,0.47821,1.2059,0.34976,0.90378,0.99649,0.51298,0.030166,0.16561,0.082509,0.17347,0.029213,0.0093049,0.00067871,1.5956
"64",9,0.53941,1.278,0.32286,0.91793,0.97368,0.63545,0.034884,0.22147,0.060967,0.15124,0.022362,0.0076389,0.00043953,1.2541
"65",9,0.58938,1.3232,0.40145,0.89009,0.98421,0.43977,0.047907,0.4177,0.11488,0.19211,0.035592,0.0091838,0.0015424,2.1004
"66",9,0.64803,1.392,0.41362,0.89752,0.96316,0.50892,0.026737,0.1301,0.058284,0.15033,0.022099,0.0078269,0.00036426,1.184
"67",9,0.54029,1.2759,0.36992,0.88831,0.97719,0.54283,0.028138,0.1441,0.051554,0.14256,0.019917,0.0074501,0.00020354,1.1427
"68",9,0.4309,1.2825,0.38769,0.85341,0.96667,0.46204,0.052403,0.49979,0.067688,0.16198,0.025566,0.0091042,0.00043085,1.3596
"69",9,0.46098,1.2199,0.32967,0.90459,1,0.56329,0.027061,0.13328,0.092156,0.18249,0.03223,0.010076,0.00090962,1.7156
"70",9,0.51577,1.2902,0.32454,0.9208,0.99474,0.62017,0.023879,0.10378,0.047501,0.12228,0.014732,0.0042129,0.00056945,1.1232
"71",9,0.59837,1.3539,0.35704,0.93647,0.99825,0.64448,0.019818,0.071484,0.045326,0.13137,0.016966,0.0059817,0.0003532,0.93682
"72",9,0.55112,1.2821,0.39683,0.88375,0.99649,0.49492,0.030576,0.17015,0.062015,0.14621,0.02093,0.0063685,0.00067747,1.2659
"73",10,0.44941,1.1374,0.38458,0.90736,0.97368,0.54595,0.047809,0.41601,0.11385,0.18608,0.033467,0.0082395,0.0012682,2.2422
"74",10,0.46727,1.1876,0.36748,0.91542,0.97719,0.57995,0.051335,0.47962,0.13764,0.18732,0.033899,0.0061636,0.0029358,2.5551
"75",10,0.55362,1.2438,0.39517,0.91092,0.97193,0.51113,0.046323,0.39055,0.083154,0.17465,0.0296,0.0094574,0.00074607,1.5807
"76",10,0.32175,1.1782,0.32151,0.91803,0.97544,0.58719,0.045933,0.384,0.076818,0.14622,0.020931,0.0048174,0.0014091,1.6749
"77",10,0.55977,1.3442,0.34301,0.9298,0.97544,0.57879,0.053564,0.52218,0.14905,0.25543,0.061249,0.02381,0.00059701,2.413
"78",10,0.50114,1.2499,0.30101,0.94477,0.9807,0.6743,0.0494,0.44415,0.096252,0.23034,0.050382,0.025877,0.00026934,1.4463
"79",10,0.23041,1.1294,0.25496,0.94201,0.97368,0.6084,0.040722,0.3018,0.10957,0.23571,0.052636,0.02418,0.00042353,1.6648
"80",10,0.32168,1.1127,0.27055,0.95426,0.99298,0.70006,0.05426,0.53584,0.10967,0.21507,0.044212,0.016252,0.00061195,1.8452
"81",10,0.38564,1.0471,0.23328,0.95176,0.97368,0.67107,0.050832,0.47028,0.13563,0.24744,0.057693,0.022,0.00086835,1.9757
"82",10,0.36127,1.0573,0.26213,0.93923,0.96667,0.59302,0.04962,0.44811,0.19067,0.28081,0.073089,0.023825,0.0012501,2.6604
"83",11,0.51247,1.1116,0.65626,0.57724,0.59298,0.16867,0.11187,2.2776,0.016001,0.061238,0.0037361,0.00087861,0.00010284,0.6508
"84",11,0.54893,1.1111,0.63983,0.56623,0.6,0.15743,0.13081,3.1143,0.021231,0.079722,0.0063155,0.0019123,7.3919e-05,0.71949
"85",11,0.43425,1.095,0.68828,0.52398,0.54211,0.15396,0.13761,3.4462,0.021147,0.073202,0.0053299,0.00134,0.00016376,0.75496
"86",11,0.38501,1.0656,0.63042,0.51223,0.59123,0.13705,0.12292,2.7498,0.033373,0.098907,0.0096879,0.0027872,0.00021426,1.0015
"87",11,0.24465,1.047,0.60511,0.56524,0.79474,0.21788,0.12522,2.854,0.037595,0.127,0.015874,0.006587,0.00010798,0.8331
"88",11,0.4042,1.0965,0.65899,0.52833,0.68421,0.1771,0.13017,3.0837,0.029057,0.096836,0.0092902,0.0028927,0.0001265,0.82383
"89",11,0.50692,1.127,0.67203,0.53024,0.75263,0.16792,0.13006,3.0788,0.015279,0.057592,0.0033059,0.00072847,0.00010983,0.67289
"90",11,0.52382,1.1117,0.67175,0.54701,0.62982,0.15157,0.13674,3.4028,0.026434,0.085792,0.0073064,0.0021373,0.00016583,0.90513
"91",11,0.36462,1.0811,0.67755,0.49042,0.68772,0.14118,0.1243,2.8118,0.037866,0.11692,0.013485,0.0046475,0.0001769,0.9229
"92",11,0.38203,1.0405,0.6901,0.48549,0.63684,0.13165,0.11852,2.5565,0.027997,0.093312,0.008632,0.0026591,0.00012469,0.84994
"93",11,0.27123,1.096,0.68075,0.49446,0.53684,0.13088,0.12815,2.9887,0.021943,0.072882,0.0052838,0.0013391,0.00022058,0.80402
"94",11,0.44882,1.0118,0.6301,0.57134,0.81053,0.16187,0.11115,2.2486,0.027309,0.088889,0.0078393,0.0022734,0.00017545,0.86
"95",12,0.88374,2.4765,0.61389,0.8581,0.98246,0.40448,0.054511,0.54081,0.06489,0.14657,0.021032,0.0067378,0.00037204,1.6461
"96",12,0.91579,2.5959,0.63023,0.94977,1,0.4976,0.024404,0.10839,0.067044,0.1528,0.022814,0.0075708,0.00031405,1.6221
"97",12,0.82866,1.9848,0.50917,0.9418,0.99825,0.55942,0.025524,0.11857,0.080103,0.16692,0.027107,0.0086548,0.0004265,1.8038
"98",12,0.87863,2.4734,0.60898,0.87869,0.99123,0.45758,0.056994,0.59119,0.076471,0.16369,0.026095,0.0087482,0.00034348,1.8363
"99",12,0.91093,2.6184,0.63236,0.92868,0.99123,0.51584,0.021091,0.080956,0.05094,0.12676,0.015815,0.0047138,0.00031804,1.3323
"100",12,0.92479,2.5638,0.62255,0.96226,0.97895,0.57504,0.0097927,0.017453,0.026156,0.10029,0.009958,0.0040505,4.4661e-05,0.77718
"101",12,0.8728,2.3151,0.58751,0.90716,0.98772,0.45257,0.058029,0.61287,0.07597,0.17378,0.029313,0.011448,0.00025642,1.6895
"102",12,0.88185,2.1732,0.57028,0.93013,0.99825,0.45014,0.049062,0.43809,0.072246,0.16601,0.02682,0.010288,0.0002503,1.7405
"103",12,0.87259,2.1845,0.56922,0.93969,0.99474,0.52611,0.044598,0.36199,0.060388,0.14227,0.019839,0.0062705,0.00031494,1.4969
"104",13,0.71763,1.5041,0.33723,0.98803,1,0.82342,0.0040421,0.0029736,0.050064,0.12542,0.015486,0.0046629,0.00027091,1.3598
"105",13,0.75285,1.5603,0.38474,0.98701,0.99649,0.78037,0.004611,0.0038695,0.046705,0.11723,0.013556,0.0038164,0.00028371,1.3539
"106",13,0.73935,1.5319,0.34987,0.98479,1,0.81067,0.0078079,0.011095,0.027888,0.11472,0.01299,0.0060166,5.0098e-05,0.59895
"107",13,0.63969,1.3612,0.28845,0.98738,1,0.82125,0.0042318,0.0032593,0.080446,0.15813,0.024394,0.0066506,0.00067629,1.8274
"108",13,0.62033,1.3105,0.26312,0.98535,1,0.82478,0.0049896,0.0045311,0.070042,0.14655,0.021025,0.0058018,0.00053019,1.705
"109",13,0.64536,1.3743,0.28162,0.98646,1,0.84494,0.005427,0.0053602,0.026853,0.085949,0.007333,0.0020334,0.00012813,0.94296
"110",13,0.70275,1.5016,0.34772,0.98776,0.99825,0.80848,0.0037534,0.002564,0.055512,0.12613,0.015659,0.004022,0.00050106,1.4395
"111",13,0.69686,1.4507,0.33575,0.9851,1,0.80461,0.0036582,0.0024356,0.038211,0.10889,0.011717,0.003581,0.00016657,1.1363
"112",13,0.66351,1.4024,0.31179,0.98529,1,0.81091,0.0068704,0.0085907,0.068206,0.13895,0.01894,0.0049098,0.00062422,1.7727
"113",13,0.67362,1.3988,0.30608,0.98301,1,0.79998,0.0087621,0.013973,0.1196,0.17804,0.030726,0.0063197,0.0016787,2.5094
"114",14,0.91298,2.455,0.61097,0.96979,0.99825,0.5621,0.0095958,0.016758,0.090447,0.1871,0.033823,0.0115,0.000564,1.6879
"115",14,0.9136,2.5213,0.61341,0.97227,1,0.56248,0.0078474,0.011208,0.068427,0.14325,0.020108,0.0055763,0.00057194,1.7187
"116",14,0.91355,2.457,0.61108,0.97034,0.97544,0.5645,0.0077029,0.010799,0.092547,0.18786,0.034088,0.011708,0.00046097,1.8501
"117",14,0.91378,2.4132,0.60362,0.96618,0.99649,0.56153,0.0091377,0.015197,0.10604,0.20316,0.039637,0.013227,0.00072984,1.8526
"118",14,0.85897,1.9723,0.51434,0.97407,0.99825,0.6792,0.0068392,0.0085129,0.046518,0.13848,0.018816,0.0073898,0.00015454,1.014
"119",14,0.94058,3.0366,0.69248,0.93952,0.99474,0.42979,0.031219,0.17738,0.038691,0.1076,0.011445,0.0032156,0.00024816,1.0843
"120",14,0.89672,2.2534,0.57689,0.96488,1,0.57906,0.0081422,0.012066,0.062778,0.1512,0.022351,0.0078553,0.00031192,1.4575
"121",14,0.89507,2.2045,0.55605,0.97701,0.99649,0.64214,0.0053433,0.0051962,0.102,0.19598,0.036988,0.012562,0.00048437,2.0484
"122",14,0.90831,2.4038,0.59263,0.97688,0.99825,0.59259,0.0064679,0.0076137,0.063688,0.1472,0.021208,0.0067017,0.00032702,1.5332
"123",15,0.4132,1.0384,0.48465,0.78118,0.87018,0.30478,0.080722,1.1859,0.047303,0.12619,0.015674,0.0058992,0.00019037,1.489
"124",15,0.56324,1.1928,0.474,0.77564,0.93333,0.34791,0.069404,0.87668,0.10401,0.17923,0.031125,0.0094494,0.00074739,2.4883
"125",15,0.48967,1.1232,0.46175,0.80214,0.9,0.31034,0.073462,0.9822,0.10125,0.17926,0.031133,0.010102,0.00068131,2.4808
"126",15,0.60319,1.088,0.51739,0.7638,0.90175,0.23802,0.077022,1.0797,0.10994,0.17976,0.031303,0.0088846,0.00087888,2.6613
"127",15,0.53622,1.2341,0.44979,0.7882,0.94386,0.38426,0.072253,0.95013,0.042992,0.12337,0.014993,0.0056501,0.00013103,1.2646
"128",15,0.51153,1.0767,0.47053,0.77952,0.90702,0.28838,0.076992,1.0789,0.084711,0.17213,0.028776,0.0099656,0.00039644,2.0412
"129",15,0.44271,1.0836,0.49548,0.74434,0.87018,0.26478,0.079481,1.1497,0.10151,0.1726,0.028929,0.0076406,0.00084487,2.389
"130",15,0.30574,1.1176,0.58847,0.66502,0.84737,0.24074,0.10064,1.8435,0.074621,0.14273,0.019966,0.0054026,0.00062391,2.1403
"131",22,0.91885,2.638,0.62859,0.96692,0.99123,0.52269,0.020081,0.07339,0.054145,0.1674,0.027257,0.013322,0.00016644,0.8989
"132",22,0.88965,2.3863,0.59051,0.90564,0.98421,0.5136,0.048934,0.43581,0.062886,0.17454,0.029562,0.013364,0.00026357,1.0734
"133",22,0.9456,3.1174,0.70912,0.79489,0.89298,0.33915,0.13457,3.2956,0.052685,0.14875,0.021648,0.008569,0.00025614,1.0503
"134",22,0.91747,2.7054,0.64091,0.87687,0.98947,0.42531,0.089364,1.4534,0.042216,0.12098,0.014424,0.0047692,0.0003061,1.0097
"135",22,0.86049,2.0997,0.532,0.9358,0.98772,0.5343,0.033994,0.21032,0.040254,0.13592,0.01814,0.0080226,0.00010143,0.82059
"136",22,0.89808,2.4056,0.59137,0.93186,0.98596,0.51229,0.029398,0.15729,0.044185,0.15479,0.0234,0.012336,7.6339e-05,0.78887
"137",22,0.86988,2.1277,0.53926,0.96257,1,0.64927,0.027899,0.14166,0.026849,0.096968,0.0093152,0.0032376,0.00010402,0.7271
"138",22,0.86675,2.0417,0.52999,0.94477,0.98947,0.55141,0.028749,0.15043,0.031023,0.12007,0.014211,0.0064538,6.947e-05,0.64966
"139",22,0.93396,2.9367,0.66689,0.92543,0.99474,0.45676,0.030052,0.16437,0.015159,0.071198,0.0050436,0.0017096,4.8527e-05,0.46762
"140",23,0.61823,1.2435,0.33084,0.94147,0.9614,0.64089,0.024255,0.10708,0.017543,0.09745,0.0094072,0.0051286,1.2841e-05,0.37324
"141",23,0.61717,1.2296,0.34897,0.93189,0.97368,0.60176,0.025375,0.11719,0.012906,0.070197,0.0049035,0.0019323,2.4448e-05,0.37728
"142",23,0.62404,1.1599,0.47899,0.91562,0.85088,0.45154,0.097205,1.7197,0.013983,0.076408,0.0058043,0.0024109,2.5646e-05,0.36029
"143",23,0.48229,1.1574,0.42617,0.91741,0.92456,0.46699,0.063396,0.73147,0.026522,0.105,0.010904,0.0044681,6.7833e-05,0.63468
"144",23,0.50771,1.1084,0.25071,0.93529,0.98596,0.64927,0.02595,0.12256,0.013493,0.073509,0.0053745,0.0021246,3.1877e-05,0.3475
"145",23,0.6018,1.2254,0.41835,0.94269,0.95263,0.54871,0.058835,0.62999,0.016202,0.074883,0.0055761,0.0018797,7.1264e-05,0.43769
"146",23,0.63548,1.202,0.47365,0.89373,0.86842,0.44347,0.077616,1.0964,0.022403,0.10386,0.010672,0.005084,3.1292e-05,0.48911
"147",23,0.65048,1.2354,0.44987,0.90929,0.89123,0.57594,0.070699,0.9097,0.0093349,0.0592,0.0034924,0.0013047,2.2232e-05,0.26169
"148",24,0.64604,1.4683,0.35457,0.9588,0.99123,0.70641,0.02021,0.074334,0.059026,0.12721,0.015925,0.0037362,0.0012496,1.3596
"149",24,0.55457,1.2955,0.25519,0.97441,0.99825,0.7824,0.012063,0.026483,0.020129,0.076722,0.0058518,0.0016389,0.00012751,0.60629
"150",24,0.4443,1.2035,0.19432,0.98319,1,0.833,0.010317,0.019373,0.029059,0.10265,0.010427,0.003627,0.00011748,0.73255
"151",24,0.6368,1.4266,0.29976,0.9747,0.99825,0.78457,0.013385,0.032608,0.028272,0.084495,0.0070888,0.0017155,0.00031351,0.913
"152",24,0.64168,1.4853,0.3362,0.95562,0.99825,0.72952,0.017439,0.05535,0.02413,0.074641,0.0055403,0.001194,0.00031921,0.82279
"153",24,0.58232,1.343,0.29271,0.95055,0.99825,0.71499,0.026876,0.13146,0.068134,0.13204,0.017136,0.0036798,0.0014697,1.6315
"154",24,0.11708,1.0944,0.1745,0.97545,1,0.81957,0.016114,0.047259,0.033007,0.087092,0.0075278,0.001568,0.0006066,1.0292
"155",24,0.53283,1.3078,0.25925,0.96727,1,0.77065,0.017745,0.057312,0.05341,0.12259,0.014806,0.0035923,0.0012358,1.1886
"156",24,0.52828,1.2496,0.2238,0.98317,1,0.82495,0.010372,0.01958,0.047482,0.10274,0.010444,0.0019794,0.0011976,1.341
"157",24,0.64897,1.4597,0.3304,0.97406,1,0.75323,0.016021,0.046715,0.012025,0.050266,0.0025203,0.00051116,0.00013299,0.49261
"158",25,0.72162,1.4686,0.43475,0.91337,0.98596,0.60738,0.046324,0.39055,0.097628,0.18471,0.032992,0.0097255,0.001043,1.8296
"159",25,0.71573,1.3808,0.37798,0.95035,0.99123,0.68138,0.025077,0.11445,0.10429,0.23183,0.051004,0.023571,0.00044425,1.5025
"160",25,0.81957,1.56,0.49513,0.91036,0.98421,0.60691,0.045977,0.38473,0.097894,0.20665,0.040954,0.015521,0.0007191,1.5452
"161",25,0.83029,1.633,0.49437,0.92597,0.96842,0.62529,0.045331,0.37399,0.13423,0.2648,0.065523,0.029786,0.00074416,1.7493
"162",25,0.7831,1.5389,0.42639,0.94648,0.97544,0.65478,0.038706,0.27266,0.12607,0.24469,0.056492,0.023259,0.00066766,1.8504
"163",25,0.78823,1.6027,0.44995,0.91357,0.95614,0.62781,0.060707,0.67072,0.12958,0.2522,0.059803,0.025228,0.0009264,1.7489
"164",25,0.83094,1.6643,0.49439,0.96016,0.99649,0.65605,0.023841,0.10345,0.12266,0.24766,0.057789,0.025308,0.00078336,1.7001
"165",26,0.55626,1.2516,0.23975,0.9802,1,0.81411,0.0073087,0.009722,0.056955,0.17933,0.031157,0.017403,8.4502e-05,0.98858
"166",26,0.29901,1.0375,0.10761,0.98386,1,0.84936,0.011462,0.023912,0.032883,0.096034,0.0091383,0.0025695,0.00018734,1.0837
"167",26,0.48223,1.1577,0.16908,0.97886,1,0.71192,0.008864,0.0143,0.037174,0.11384,0.012794,0.0044407,0.00014852,1.0089
"168",26,0.5895,1.2708,0.24364,0.98173,0.99649,0.82082,0.0074388,0.010071,0.041688,0.11576,0.013223,0.0041,0.00025724,1.1105
"169",26,0.322,1.0698,0.13626,0.98017,0.99825,0.81953,0.012913,0.030347,0.076267,0.18383,0.03269,0.014159,0.00026309,1.4955
"170",26,0.482,1.1415,0.15235,0.98536,1,0.85572,0.0072199,0.009487,0.021863,0.079283,0.0062465,0.0017479,0.00013143,0.69178
"171",26,0.87402,2.0754,0.55373,0.96281,0.98421,0.56448,0.019656,0.070316,0.037553,0.10946,0.011839,0.0038499,0.00021407,1.0693
"172",26,0.58138,1.2486,0.21485,0.98704,1,0.83511,0.0046582,0.0039492,0.04072,0.11304,0.012618,0.0036743,0.00033322,1.0368
"173",26,0.40974,1.0732,0.14538,0.98155,1,0.8407,0.0042083,0.0032232,0.04953,0.1489,0.021691,0.010419,0.00010258,1.1781
"174",27,0.60267,1.254,0.20587,0.98883,1,0.80193,0.0084333,0.012944,0.017777,0.061786,0.003803,0.00091963,0.00015231,0.85839
"175",27,0.66906,1.2751,0.30877,0.9877,1,0.85816,0.0048599,0.0042987,0.031488,0.094241,0.0088032,0.0025337,0.00019057,1.0378
"176",27,0.72719,1.4779,0.3298,0.99388,1,0.8423,0.0029668,0.0016019,0.02634,0.081903,0.0066634,0.0017846,0.0001939,0.9805
"177",27,0.79923,1.6549,0.40919,0.98964,1,0.815,0.0048968,0.0043641,0.028693,0.091008,0.0082145,0.0025009,0.00013606,0.98834
"178",27,0.81354,1.6924,0.41016,0.99256,1,0.78909,0.0046348,0.0039096,0.031342,0.096493,0.0092251,0.0028704,0.00017007,1.0171
"179",27,0.8031,1.652,0.40268,0.97695,1,0.79833,0.010883,0.021558,0.046764,0.10227,0.010352,0.0021515,0.00074063,1.5053
